"time","Iron Mine","Smelters","Steel Mill","Equipment Manufactory"
"150068","5","14","22","32"
"150485","5","15","22","32"
"150680","5","15","22","33"
"151319","5","15","22","34"
"151888","5","15","22","35"
"152502","5","15","22","36"
"153365","5","15","23","36"
"154600","5","15","24","36"
"154976","5","15","24","37"
"155542","5","15","24","38"
"156161","5","15","24","39"
"156443","5","15","25","39"
"156767","5","15","25","40"
"157271","5","16","25","40"
"157364","5","16","25","41"
"157978","5","16","25","42"
"159962","6","16","25","42"
"160358","6","17","25","42"
"160423","6","17","25","43"
"161036","6","17","25","44"
"161553","6","17","25","45"
"162088","6","17","25","46"
"162311","6","17","26","46"
"162615","6","17","26","47"
"163090","6","17","26","48"
"163616","6","17","26","49"
"164414","6","17","27","49"
"164674","6","17","27","50"
"164913","6","17","28","50"
"166181","6","17","28","51"
"166710","6","17","28","52"
"167218","6","17","28","53"
"167477","6","17","29","53"
"167726","6","17","29","54"
"168246","6","17","29","55"
"168778","6","17","29","56"
"170851","6","17","29","57"
"171137","6","17","30","57"
"171382","6","17","30","58"
"171902","6","17","30","59"
"172415","6","17","30","60"
"172938","6","17","30","61"
"173450","6","17","30","62"
"173979","6","17","30","63"
"174287","6","17","31","63"
"174505","6","17","31","64"
"177098","6","17","31","65"
"177426","6","17","32","65"
"177629","6","17","32","66"
"178126","6","17","32","67"
"178149","6","18","32","67"
"178446","6","18","33","67"
"178642","6","18","33","68"
"179137","6","18","33","69"
"179658","6","18","33","70"
"180182","6","18","33","71"
"180213","6","19","33","71"
"180683","6","19","33","72"
"182226","6","19","33","73"
"183255","6","19","33","74"
"183786","6","19","33","75"
"184289","6","19","33","76"
"184828","6","19","33","77"
"185332","6","19","33","78"
"185857","6","19","33","79"
"186380","6","19","33","80"
"186419","6","20","33","80"
"186895","6","20","33","81"
"187385","6","20","33","82"
"187906","6","20","33","83"
"188778","6","20","34","83"
"189299","6","20","35","83"
"189980","6","20","35","84"
"190330","6","20","36","84"
"190501","6","20","36","85"
"190997","6","20","36","86"
"191101","6","21","36","86"
"191537","6","21","36","87"
"192039","6","21","36","88"
"192345","7","21","36","88"
"192393","7","21","37","88"
"192552","7","21","37","89"
"193070","7","21","37","90"
"193533","7","21","37","91"
"193985","7","21","37","92"
"194290","7","21","38","92"
"194437","7","21","38","93"
"194736","7","21","39","93"
"194887","7","21","39","94"
"195342","7","21","39","95"
"195794","7","21","39","96"
"196243","7","21","39","97"
"198947","7","21","39","98"
"201214","7","21","39","99"
"201646","7","21","39","100"
"202096","7","21","39","101"
"202545","7","21","39","102"
"203002","7","21","39","103"
"203439","7","21","39","104"
"205277","7","21","39","105"
"207051","7","21","39","106"
"207376","7","21","40","106"
"207574","7","22","40","106"
"207816","7","22","41","106"
"209255","7","22","41","107"
"209701","7","22","41","108"
"210139","7","22","41","109"
"210601","7","22","41","110"
"211053","7","22","41","111"
"211493","7","22","41","112"
"214535","7","22","42","112"
"216764","7","22","43","112"
"216890","7","22","43","113"
"217331","7","22","43","114"
"217790","7","22","43","115"
"218245","7","22","43","116"
"218680","7","22","43","117"
"219140","7","22","43","118"
"219591","7","22","43","119"
"220954","7","22","43","120"
"221401","7","22","43","121"
"221708","7","22","44","121"
"221828","7","22","44","122"
"222160","7","22","45","122"
"223067","7","22","46","122"
"224085","7","22","46","123"
"224420","7","22","47","123"
"226332","7","22","47","124"
"226809","7","22","47","125"
"227260","7","22","47","126"
"227369","7","23","47","126"
"227700","7","23","47","127"
"228017","7","23","48","127"
"228128","7","23","48","128"
"228575","7","23","48","129"
"230372","7","23","48","130"
"231143","7","23","49","130"
"233205","7","24","49","130"
"235766","7","24","49","131"
"236087","7","24","50","131"
"236196","7","24","50","132"
"236333","7","25","50","132"
"236637","7","25","50","133"
"237082","7","25","50","134"
"237522","7","25","50","135"
"237691","7","26","50","135"
"237886","7","26","51","135"
"237994","7","26","51","136"
"241620","7","26","51","137"
"243418","7","26","51","138"
"245677","7","26","51","139"
"246110","7","26","51","140"
"246270","7","27","51","140"
"246568","7","27","51","141"
"247004","7","27","51","142"
"247157","7","28","51","142"
"247451","7","28","51","143"
"247930","7","28","51","144"
"248077","7","29","51","144"
"248717","7","29","52","144"
"250182","7","29","52","145"
"250980","7","29","53","145"
"251435","7","29","54","145"
"253284","8","29","54","145"
"253691","8","29","55","145"
"256268","8","29","55","146"
"256545","8","29","56","146"
"256655","8","29","56","147"
"257047","8","29","56","148"
"257445","8","29","56","149"
"257842","8","29","56","150"
"258127","8","29","57","150"
"258229","8","29","57","151"
"258627","8","29","57","152"
"258899","8","29","58","152"
"259176","8","30","58","152"
"261138","8","31","58","152"
"262243","8","31","58","153"
"263548","8","32","58","153"
"264107","8","32","59","153"
"265810","8","32","59","154"
"266742","8","33","59","154"
"267300","8","33","60","154"
"269810","8","33","60","155"
"272014","8","34","60","155"
"273505","8","34","60","156"
"273816","8","34","61","156"
"274217","8","34","62","156"
"275417","8","34","63","156"
"281783","8","35","63","156"
"282450","8","35","63","157"
"283140","8","35","64","157"
"283235","8","35","64","158"
"283536","8","35","65","158"
"283637","8","35","65","159"
"285560","8","35","66","159"
"286209","8","36","66","159"
"288213","8","37","66","159"
"289241","9","37","66","159"
"290815","9","37","66","160"
"293218","9","37","67","160"
"295136","9","37","67","161"
"298058","9","37","67","162"
"298420","9","37","67","163"
"298761","9","37","67","164"
"299162","9","37","67","165"
"299499","9","37","67","166"
"299851","9","37","67","167"
"300246","9","37","67","168"
"300556","9","37","67","169"
"304115","9","37","68","169"
"304218","9","37","68","170"
"304597","9","37","68","171"
"305968","9","37","69","171"
"306455","9","37","69","172"
"307171","9","37","69","173"
"308661","9","37","69","174"
"309016","9","37","69","175"
"309405","9","37","69","176"
"309795","9","37","69","177"
"310103","9","37","69","178"
"310456","9","37","69","179"
"310837","9","37","69","180"
"311161","9","37","69","181"
"312398","9","38","69","181"
"313301","9","38","70","181"
"314437","9","38","70","182"
"314702","9","38","71","182"
"316992","9","38","71","183"
"318655","9","38","72","183"
"319416","9","38","73","183"
"319528","9","38","73","184"
"319825","9","38","73","185"
"320219","9","38","73","186"
"320461","9","38","74","186"
"320610","9","38","74","187"
"320864","9","38","75","187"
"320992","9","38","75","188"
"321338","9","38","75","189"
"321761","9","38","75","190"
"322055","9","38","75","191"
"322674","9","38","76","191"
"323616","9","39","76","191"
"330351","9","39","76","192"
"333200","9","39","77","192"
"333709","9","39","77","193"
"333937","9","39","78","193"
"335250","9","40","78","193"
"335748","9","40","79","193"
"336213","9","40","79","194"
"337110","9","41","79","194"
"338550","9","42","79","194"
"341863","9","43","79","194"
"342800","9","43","79","195"
"343191","9","43","79","196"
"343533","9","43","79","197"
"343826","9","43","80","197"
"343915","9","43","80","198"
"344267","9","43","80","199"
"344639","9","43","80","200"
"344990","9","43","80","201"
"345275","9","43","81","201"
"345374","9","43","81","202"
"346824","9","43","81","203"
"346944","9","44","81","203"
"347076","9","44","82","203"
"347187","9","44","82","204"
"347827","9","44","83","204"
"349046","9","44","83","205"
"349444","9","44","83","206"
"349592","9","45","83","206"
"349728","9","45","84","206"
"350828","9","45","85","206"
"351595","9","45","86","206"
"351853","9","46","86","206"
"352313","9","46","87","206"
"352700","9","46","88","206"
"355009","9","46","88","207"
"355669","9","46","88","208"
"356096","9","46","88","209"
"356454","9","46","88","210"
"356790","9","46","88","211"
"357149","9","46","88","212"
"357423","9","46","89","212"
"357520","9","46","89","213"
"357879","9","46","89","214"
"358258","9","46","89","215"
"359907","9","47","89","215"
"363892","9","48","89","215"
"364287","9","49","89","215"
"364733","9","49","90","215"
"364833","10","49","90","215"
"365191","10","49","90","216"
"366156","11","49","90","216"
"367739","11","49","90","217"
"368699","11","49","90","218"
"369024","11","49","90","219"
"369336","11","49","90","220"
"369632","11","49","90","221"
"369975","11","49","90","222"
"370324","11","49","90","223"
"370603","11","49","90","224"
"370883","11","49","90","225"
"371239","11","49","90","226"
"373406","11","49","90","227"
"374369","11","49","90","228"
"376467","11","49","90","229"
"378073","11","49","90","230"
"378406","11","49","90","231"
"379023","11","49","90","232"
"380606","11","49","90","233"
"380860","11","49","90","234"
"381196","11","49","90","235"
"381518","11","49","90","236"
"381868","11","49","90","237"
"382202","11","49","90","238"
"382499","11","49","90","239"
"382808","11","49","90","240"
"383173","11","49","90","241"
"383339","11","49","91","241"
"384722","11","49","91","242"
"385615","11","49","91","243"
"390281","11","49","91","244"
"395992","11","49","91","245"
"399110","11","49","91","246"
"400634","11","49","91","247"
"403798","11","49","91","248"
"404236","11","50","91","248"
"409098","11","50","92","248"
"410082","11","50","92","249"
"410933","11","50","93","249"
"411019","11","50","93","250"
"414390","11","50","94","250"
"417333","11","50","94","251"
"418251","11","50","94","252"
"418580","11","50","94","253"
"418819","11","50","95","253"
"418909","11","50","95","254"
"419229","11","50","95","255"
"419539","11","50","95","256"
"419840","11","50","95","257"
"420216","11","50","95","258"
"420604","11","50","95","259"
"420858","11","50","95","260"
"422729","11","50","95","261"
"423074","11","50","95","262"
"424388","11","50","95","263"
"424530","11","51","95","263"
"425383","11","51","95","264"
"425591","11","51","96","264"
"426680","11","51","96","265"
"426950","11","51","96","266"
"428603","11","51","96","267"
"430499","11","51","96","268"
"431909","11","51","97","268"
"435423","11","51","98","268"
"437499","11","51","98","269"
"441828","11","51","98","270"
"448985","11","51","98","271"
"450036","11","52","98","271"
"454954","11","53","98","271"
"455793","11","53","98","272"
"457593","11","53","98","273"
"458805","11","53","98","274"
"459085","11","53","98","275"
"459395","11","53","98","276"
"459708","11","53","98","277"
"460002","11","53","98","278"
"460302","11","53","98","279"
"460613","11","53","98","280"
"460966","11","53","98","281"
"461255","11","53","98","282"
"463293","11","53","98","283"
"467513","11","53","98","284"
"472797","11","53","98","285"
"473072","11","53","98","286"
"473410","11","53","98","287"
"473654","11","53","98","288"
"474013","11","53","98","289"
"474297","11","53","98","290"
"474585","11","53","98","291"
"474910","11","53","98","292"
"475030","11","54","98","292"
"475246","11","54","98","293"
"478221","11","54","99","293"
"492185","11","54","99","294"
"498660","11","54","100","294"
"499249","11","54","101","294"
"501532","11","54","101","295"
"501831","11","54","101","296"
"502171","11","54","101","297"
"502571","11","54","101","298"
"502914","11","54","101","299"
"503172","11","54","101","300"
"503565","11","54","101","301"
"503844","11","54","101","302"
"504152","11","54","101","303"
"505521","11","54","101","304"
"507663","11","54","102","304"
"508373","11","54","102","305"
"510053","11","54","102","306"
"511986","11","54","103","306"
"514103","11","54","103","307"
"516404","11","54","103","308"
"517012","11","54","103","309"
"517355","11","54","103","310"
"517417","11","55","103","310"
"517636","11","55","103","311"
"517956","11","55","103","312"
"518289","11","55","103","313"
"518621","11","55","103","314"
"518923","11","55","103","315"
"519229","11","55","103","316"
"519626","11","55","103","317"
"521559","11","55","103","318"
"524087","11","56","103","318"
"527168","11","56","104","318"
"527528","11","56","105","318"
"528589","11","57","105","318"
"532507","11","58","105","318"
"533541","11","58","106","318"
"536545","11","58","106","319"
"536983","11","58","106","320"
"539154","12","58","106","320"
"543037","12","58","106","321"
"546086","12","58","106","322"
"547136","12","58","106","323"
"547971","12","58","106","324"
